Nombre,Símbolo,Precio,Market_Cap,Volumen_24h
CoinMarketCap 20 Index DTF,CMC20,162.14,7.91M7906868,443373427.34K
Bitcoin,BTC,78917.12,1.57T1574288730482,60742817418771.01K
Ethereum,ETH,2405.95,290.23B290226940193,4016385206616.70M
Tether,USDT,0.9985,185.1B185100777351,131122870980131.31B
BNB,BNB,779.48,106.5B106502919867,29071271193.72M
XRP,XRP,1.56,95.5B95502204833,50893996123.24B
USDC,USDC,0.9993,70B70002318519,1710822346217.11B
Solana,SOL,103.25,58.47B58474265517,765045405474.09M
TRON,TRX,0.2851,27.01B27011892210,8079578622.83B
Dogecoin,DOGE,0.1017,17.15B17151318839,204500269920.09B
Cardano,ADA,0.2839,10.24B10236773188,11756739964.13B
Bitcoin Cash,BCH,491.45,9.82B9823356819,453623399923.02K
Hyperliquid,HYPE,28.29,8.55B8546951982,68173353524.09M
Monero,XMR,446.79,8.24B8241947810,231470255518.06K
UNUS SED LEO,LEO,8.74,8.06B8063709886,1109444126.81K
Lido DAO,LDO,0.4097,346.86M346856473,55198946134.72M
Aerodrome Finance,AERO,0.3696,338.91M338909691,2974648780.48M
AINFT,NFT,0.063364,336.48M336478053,1675956949.80T
Maple Finance,SYRUP,0.2887,334.07M334072478,1706946159.12M
Kaia,KAIA,0.05357,333.93M333927668,27648130516.02M
Sun [New],SUN,0.01721,330.63M330626530,257169231.49B
ether.fi,ETHFI,0.4699,328.69M328687777,64479503137.19M
FLOKI,FLOKI,3.395e-05,323.91M323910848,675638251.98T
Humanity Protocol,H,0.1335,322.03M322025470,1464505691.09B
Trust Wallet Token,TWT,0.7245,311.47M311465489,1807625324.94M
Axie Infinity,AXS,1.84,311.32M311318952,18285855799.16M
Bitcoin SV,BSV,15.57,311.23M311230632,206069091.32M
The Graph,GRT,0.02891,309.32M309323644,25797913892.26M
Celestia,TIA,0.3535,308.98M308983122,64921843183.62M
Gnosis,GNO,115.85,305.76M305761175,660967757.05K
Rain,RAIN,0.009084,3.09B3087218191,417097144.59B
Falcon USD,USDf,0.9931,2.05B2050364128,77218607.77M
Jupiter Perps LP,JLP,4.08,1.56B1563793195,403523419.86M
Ondo US Dollar Yield,USDY,1.11,703.4M703399839,13486211.20M
Usual USD,USD0,0.9982,589.81M589809864,88230888.83M
Beldex,BDX,0.07604,578.39M578390078,13091948172.14M
GHO,GHO,0.9984,507.03M507028300,28693112.87M
USDai,USDAI,0.9998,501.3M501295463,1624816.25K
Fasttoken,FTN,1.08,473.57M473566882,1236535311.39M
c8ntinuum,CTM,0.1012,441.32M441322429,132307113.06M
Legacy Frax Dollar,FRAX,0.9915,273.83M273825097,3730381937.62M
Undeads Games,UDS,2.27,225.54M225541429,488260214.85K
Ape and Pepe,APEPE,0.051066,223.98M223980466,3157177829.60T
Zeebu,ZBU,0.5185,214.5M214504154,76794148.08K
WeFi,WFI,2.5,197.01M197008036,42131481.68M
XPR Network,XPR,0.002454,69.74M69740232,27415681.11B
Astar,ASTR,0.008165,69.66M69655573,4603961563.86M
aelf,ELF,0.08424,68.97M68965961,217456025.81M
Qubic,QUBIC,0.065093,68.23M68229033,19155223.76T
MindWaveDAO,NILA,0.08071,68.03M68027885,3261424.04M
Numeraire,NMR,9.06,67.89M67891664,162125091.78M
Rekt (rekt.com),REKT,0.062409,67.64M67636941,9908784.11T
Dohrnii,DHN,3.95,67.61M67610275,15956940.29K
InitVerse,INI,0.1233,67.42M67415265,146638611.88M
U.S. Dollar Tokenized Currency (Ondo),USDon,0.9989,66.73M66731671,2629110526.31M
SushiSwap,SUSHI,0.232,66.57M66568448,1837398479.17M
VVS Finance,VVS,0.051524,66.39M66393292,544855357.42B
Waves,WAVES,0.5489,65.88M65883527,855389415.58M
RedStone,RED,0.2151,65.86M65864377,1278879059.43M
XYO,XYO,0.004822,65.86M65856809,73829171.53B
MobileCoin,MOB,0.2374,47.12M47118940,2004184.38K
Pundi X (New),PUNDIX,0.1821,47.06M47057930,445977424.48M
Polymesh,POLYX,0.04602,47.04M47042451,234446650.93M
Spark,SPK,0.02007,46.87M46865618,425026032.11B
ICON,ICX,0.04305,46.86M46857440,364114684.56M
BIM,BIM,1.54,46.29M46289273,277346179.74K
KGeN,KGEN,0.2181,46.05M46050043,334594815.33M
Babylon,BABY,0.01619,45.91M45913027,9703738599.18M
Tornado Cash,TORN,8.7,45.8M45795563,27495831.58K
RateX,RTX,2.74,45.7M45699816,166319936.06M
DEAPcoin,DEP,0.001528,45.7M45695262,263046172.07M
Apertum,APTM,0.601,45.67M45669614,14872332.47M
Useless Coin,USELESS,0.04569,45.65M45652596,17928401392.35M
AI Analysis Token,AIAT,0.3109,45.51M45513648,3618521.16M
Enjin Coin,ENJ,0.02356,45.47M45467462,9011559382.46M
MEET48,IDOL,0.03306,34.6M34604380,10755529325.23M
Bitlayer,BTR,0.1316,34.43M34431871,1271685996.61M
Dogelon Mars,ELON,0.073439,34.34M34341501,338555098.44T
peaq,PEAQ,0.01918,34.32M34315080,2974006155.04M
Constellation,DAG,0.01193,34.28M34281083,114856596.27M
Audiera,BEAT,0.1868,33.96M33961813,1345719972.02M
UNIPOLY,UNP,0.1542,33.82M33823947,3208252.07M
Shentu,CTK,0.2174,33.77M33769994,386951417.79M
Liquity USD,LUSD,0.9894,33.71M33710686,1444914.60K
Xertra,STRAX,0.01639,33.68M33676930,275803411.68B
Propy,PRO,0.3353,33.53M33531338,836524924.94M
Momentum,MMT,0.164,33.48M33480985,1234194075.23M
MiL.k,MLK,0.06315,33.31M33313808,363288957.52M
Coreum,COREUM,0.08597,33.08M33082083,110560712.85M
TronBank,TBK,0.326,32.99M32992718,164107503.28K
SATS (Ordinals),SATS,0.071211,25.44M25436056,10604407875.49T
Hippo Protocol,HP,0.01977,25.42M25424310,3328356168.29M
Smooth Love Potion,SLP,0.0006969,25.4M25397586,46402626.65B
哈基米,哈基米,0.02529,25.3M25299224,6764680267.38M
Torch of Liberty,LIBERTY,0.02536,25.37M25369299,273567451.07B
Goatseus Maximus,GOAT,0.02505,25.06M25057719,6412968255.92M
Railgun,RAIL,1.81,25M25002079,1179859650.59K
Phala Network,PHA,0.03015,24.91M24914603,10807555358.43M
Adshares,ADS,0.6429,24.9M24900522,15775782.45M
Chromia,CHR,0.02909,24.81M24811635,5098724175.23M
Isiklar Coin,ISIKC,0.2474,24.74M24744240,4544961.83M
Aurora,AURORA,0.03641,24.62M24617063,37119010.19M
Wirex Token,WXT,0.002452,24.53M24527630,307566125.39M
SuperWalk,GRND,0.03415,24.53M24525378,1517574.44M
HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,0.02451,24.51M24505200,4922279200.82M
Catizen,CATI,0.04783,19.03M19031153,449674894.00M
Solend,SLND,0.1881,18.82M18817025,13056.93K
Public Masterpiece Token,PMT,0.1115,18.8M18796439,4190833.75M
StrikeX,STRX,0.02136,18.64M18643780,12277574.64K
Realio Network,RIO,0.1272,18.59M18589508,145582211.44M
Circle tokenized stock (xStock),CRCLX,62.91,18.54M18535163,21249336337.73K
Magma Finance,MAGMA,0.09718,18.47M18466002,299179630.78M
DeAgentAI,AIA,0.1253,18.4M18400136,792247363.22M
Sharp,SHARP,0.006844,18.39M18391579,40895959.75M
iShares 20+ Year Treasury Bond Tokenized ETF (Ondo),TLTon,89.16,18.31M18311647,136441615.30K
Folks Finance,FOLKS,1.48,18.11M18110806,71201974.79M
Tether Gold Tokens,XAUT0,4796.13,18.09M18091427,50635621.05K
Orchid,OXT,0.01811,18.06M18062851,2119345117.00M
Tesla Tokenized Stock (Ondo),TSLAon,427.7,17.97M17967263,25039475.85K
Artificial Liquid Intelligence,ALI,0.001962,17.9M17896581,219025111.59M
Vameon,VON,2.921e-05,14.61M14609486,29602610.13B
PAAL AI,PAAL,0.01459,14.56M14559264,3546095243.02M
Act I : The AI Prophecy,ACT,0.01532,14.53M14531686,291498641.90B
Velodrome Finance,VELO,0.01586,14.52M14519499,4045522254.99M
iShares Core US Aggregate Bond Tokenized ETF (Ondo),AGGon,101.8,14.41M14407088,112509011.05K
Moss Coin,MOC,0.03263,14.38M14376448,10799624330.89M
RIZE,RIZE,0.00727,14.35M14350839,26622436.61M
TARS AI,TAI,0.01607,14.34M14339380,107921067.14M
Solv Protocol,SOLV,0.009594,14.22M14224733,6866723715.69M
Puffer,PUFFER,0.03845,14.23M14225546,289471675.28M
Argentine Football Association Fan Token,ARG,0.8878,14.2M14201714,15492061.74M
iShares Gold Trust Tokenized ETF (Ondo),IAUon,91.97,14.2M14196369,796973186.65K
Vanar Chain,VANRY,0.006289,14.19M14191100,102541351.63B
AIHub,AIH,12.09,14.16M14156348,--
Towns,TOWNS,0.005191,14.09M14094953,120700192.32B
Assemble AI,ASM,0.007502,11.25M11253043,1739184231.82M
AS Roma Fan Token,ASR,1.38,11.24M11239046,54096793.91M
Luna by Virtuals,LUNA,0.01123,11.24M11238704,22943820.41M
Enzyme,MLN,3.77,11.23M11229884,43732181.15M
Abelian,ABEL,0.1001,11.22M11221005,1014151.01M
iShares TIPS Bond Tokenized ETF (Ondo),TIPon,111.9,11.21M11207238,5414.83
Camp Network,CAMP,0.00532,11.2M11203868,4178266785.25M
Real,REAL,0.01125,11.2M11196722,38541034.25M
IXS,IXS,0.06218,11.19M11193429,1719372.76M
Infinity Ground,AIN,0.04082,11.18M11182507,356355587.27M
雪球,雪球,0.01807,11.12M11124466,2829672156.53M
Scroll,SCR,0.05851,11.12M11118048,7364651125.85M
Phoenix,PHB,0.1775,11.09M11086604,418659223.58M
ASD,ASD,0.01673,11.06M11057052,126712175.70M
LOOK,LOOK,0.01192,11M10996671,32126426.94M
MCOIN,MCOIN,0.04977,8.81M8810450,3209636.44M
Bluefin,BLUE,0.0223,8.8M8803034,5376671241.04M
DuckChain,DUCK,0.001228,8.79M8789278,1089124886.59M
Bella Protocol,BEL,0.1098,8.79M8787392,431926939.32M
Freedom Dollar,FUSD,0.9984,8.79M8786434,420082420.73K
Galeon,GALEON,0.01063,8.76M8760929,12246111.51M
Arena-Z,A2Z,0.001108,8.75M8750640,56679995.11B
PepeCoin,PEPECOIN,0.08166,8.74M8742898,2645213.23M
Bertram The Pomeranian,BERT,0.009042,8.74M8741770,1899526210.06M
Trusta.AI,TA,0.03699,8.74M8740429,5132315138.72M
Kyuzo's Friends,KO,0.04008,8.72M8719054,5506849137.37M
Devve,DEVVE,0.09006,8.69M8685744,3561273.95M
BitcoinOS,BOS,0.002004,8.65M8645390,1911653953.85M
Codatta,XNY,0.003456,8.64M8641200,211146196.10B
SLIMEX,SLX,0.004984,8.64M8637323,41677683.62M
Orizon,ORI,55.2,7.37M7367520,1888963.42K
NEM,XEM,0.0008156,7.34M7340828,23176692.84B
AVA,AVA,0.007323,7.32M7317720,1855635253.37M
Houdini Swap,LOCK,0.08048,7.31M7307540,8296103.07K
Diamond,DMD,1.93,7.3M7302042,2785514.40K
Swarm,BZZ,0.1388,7.3M7301320,3868702.78M
NeuralAI,NEURAL,0.7294,7.29M7294499,139912191.80K
AKEDO,AKE,0.0003198,7.29M7291761,376846811.78B
Fwog (SOL),FWOG,0.007473,7.29M7291439,1689277226.03M
Acala Token,ACA,0.006224,7.26M7261539,150226252.41B
UXLINK,UXLINK,0.009215,7.25M7245826,1059233114.93M
Nakamoto Games,NAKA,0.07638,7.24M7238871,115242815.08M
Solomon,SOLO,0.5587,7.21M7207243,229382410.56K
XBorg,XBG,0.03012,7.19M7188904,1234764.09M
Quickswap [New],QUICK,0.009118,7.18M7180692,63638169.79M
Bitboard,BB,0.00125,5.51M5512136,389129311.22M
OVERTAKE,TAKE,0.02663,5.5M5496916,207834878.03M
MileVerse,MVC,0.001989,5.49M5492288,2930514.73M
Sui Name Service,NS,0.02099,5.46M5459078,84173540.10M
Wojak,WOJAK,7.862e-05,5.46M5457108,94529112.02B
GOLDAO,GOLDAO,0.006885,5.46M5456930,1152167.36K
Covalent X Token,CXT,0.005513,5.45M5446964,930577168.77M
Mythos,MYTH,0.006314,5.45M5446335,271594.30M
Izumi Finance,IZI,0.006861,5.4M5403068,11845417.26M
dYdX (ethDYDX),ETHDYDX,0.1295,5.4M5396731,965760174.54M
DeBox,BOX,0.01136,5.4M5396305,189921.67M
SpaceN,SN,0.1347,5.39M5392988,43318.96
Fulcrom Finance,FUL,0.002525,5.38M5379737,3899815.44M
Flamingo,FLM,0.009441,5.35M5348003,23904325.31M
Cryptex Finance,CTX,0.6484,5.32M5320062,11612301.79M
Aventus,AVT,0.7263,4.36M4358172,93123128.20K
USDJ,USDJ,0.4658,4.35M4353721,--
Smog,SMOG,0.005579,4.35M4346213,3861692.00K
GmeStop,GME,0.0006305,4.34M4341457,7517751.19B
Tenset,10SET,0.03105,4.34M4341216,1576955.07M
GhostwareOS,GHOST,0.004334,4.33M4334066,842590194.40M
Holdstation,HOLD,0.5481,4.33M4332057,139468254.45K
EVAA Protocol,EVAA,0.6539,4.33M4327888,25279223.86M
PAW,PAW,0.084551,4.31M4314929,7595616.68T
KaiChain,KAI,0.0009026,4.31M4310137,77508.58M
ShibaBitcoin,SBBTC,36.9,4.3M4302895,649111.75K
Oraichain,ORAI,0.311,4.3M4299308,8413352.70M
MemeFi,MEMEFI,0.0004296,4.3M4296553,32501357.56B
Populous,PPT,0.08067,4.3M4296237,--
AmonD,AMON,0.000598,4.29M4292236,--
UNCX Network,UNCX,75.76,3.53M3533805,12200161.03
Aurory,AURY,0.04694,3.53M3527211,905011.92M
Meta Platforms Tokenized Stock (Ondo),METAon,714.1,3.52M3524879,15388712.15K
GOAT Network,GOATED,0.03375,3.52M3522498,134382939.80M
Mastercard Tokenized Stock (Ondo),MAon,538.03,3.51M3511902,38385947.13K
SHPING,SHPING,0.001529,3.5M3496635,158743103.81M
Komodo,KMD,0.0257,3.49M3494723,2073268.06M
Sovryn,SOV,0.07094,3.49M3491458,1031701.45M
一 (USD1_ONE),一,0.003488,3.49M3488333,1886321540.75M
LumiWave,LWA,0.004505,3.47M3469409,540818120.04M
Hathor,HTR,0.006748,3.46M3460384,14757421.86M
GALAXIA,GXA,0.001371,3.45M3451865,5488740.01M
noice,NOICE,6.208e-05,3.43M3433589,82261613.24B
Partisia Blockchain,MPC,0.008733,3.41M3414126,799179.15M
STUFF.io,STUFF,0.001025,3.41M3412339,1172111.42M
WHALE,WHALE,0.2893,2.89M2893951,--
EarthMeta,EMT,0.001999,2.87M2874870,2297311.48M
NetMind Token,NMT,0.08584,2.87M2871458,3202753.73M
Astroon,AST,0.004652,2.86M2857842,24003251.59M
Pipe Network,PIPE,0.02849,2.85M2849732,213236274.82M
REI Network,REI,0.002998,2.85M2848795,26850489.53M
PaLM AI,PALM,0.03692,2.85M2848399,414871.12M
Jesus Coin,JESUS,0.071877,2.84M2843233,18295974.34B
DeepNode,DN,0.126,2.84M2836793,309706424.56M
McDonald's Tokenized Stock (Ondo),MCDon,317.39,2.82M2818196,5769531.81K
Nexera,NXRA,0.002694,2.82M2818127,228858.49M
DerivaDAO,DDX,0.1076,2.81M2810165,11101.73
Kishu Inu,KISHU,0.0103017,2.81M2810073,1478134.89P
Tether EURt,EURt,0.07721,2.81M2809828,--
Unstable Coin (usduc.io),USDUC,0.002808,2.81M2808353,745848265.55M
Shrapnel,SHRAP,0.0007963,2.29M2293962,1432817.99M
WAGMI Games,WAGMIGAMES,0.051042,2.29M2292640,153887147.66B
AR.IO Network,ARIO,0.004093,2.27M2273297,158243.86M
Blum,Blum,0.01318,2.27M2270717,2523499191.38M
Nya,NYA,0.076416,2.26M2260792,72211.25B
OciCat,OCICAT,0.087101,2.26M2260331,129651.82T
MARS4,MARS4,0.0009101,2.26M2259910,262788288.73M
Magpie,MGP,0.003961,2.25M2250226,102842.59M
TOWER,TOWER,0.000369,2.24M2242997,8174902.21B
Ethervista,VISTA,2.38,2.24M2242405,285378119.67K
Cellframe,CELL,0.07818,2.24M2236144,4071785.20M
METAVERSE,METAV,0.002235,2.24M2235800,318866142.61M
AstraAI,ASTRA,0.2222,2.22M2222989,90428406.78K
Roaring Kitty,ROAR,0.002222,2.22M2222880,13435360.44M
