indice,Nombre,Altura,Peso,Base_Experience,Altura_m,Peso_kg,BMI
1,bulbasaur,7,69,64.0,0.7,6.9,14.08
2,ivysaur,10,130,142.0,1.0,13.0,13.0
3,venusaur,20,1000,236.0,2.0,100.0,25.0
4,charmander,6,85,62.0,0.6,8.5,23.61
5,charmeleon,11,190,142.0,1.1,19.0,15.7
6,charizard,17,905,240.0,1.7,90.5,31.31
7,squirtle,5,90,63.0,0.5,9.0,36.0
8,wartortle,10,225,142.0,1.0,22.5,22.5
9,blastoise,16,855,239.0,1.6,85.5,33.4
10,caterpie,3,29,39.0,0.3,2.9,32.22
11,metapod,7,99,72.0,0.7,9.9,20.2
12,butterfree,11,320,178.0,1.1,32.0,26.45
13,weedle,3,32,39.0,0.3,3.2,35.56
14,kakuna,6,100,72.0,0.6,10.0,27.78
15,beedrill,10,295,178.0,1.0,29.5,29.5
16,pidgey,3,18,50.0,0.3,1.8,20.0
17,pidgeotto,11,300,122.0,1.1,30.0,24.79
18,pidgeot,15,395,216.0,1.5,39.5,17.56
19,rattata,3,35,51.0,0.3,3.5,38.89
20,raticate,7,185,145.0,0.7,18.5,37.76
21,spearow,3,20,52.0,0.3,2.0,22.22
22,fearow,12,380,155.0,1.2,38.0,26.39
23,ekans,20,69,58.0,2.0,6.9,1.73
24,arbok,35,650,157.0,3.5,65.0,5.31
25,pikachu,4,60,112.0,0.4,6.0,37.5
26,raichu,8,300,218.0,0.8,30.0,46.87
27,sandshrew,6,120,60.0,0.6,12.0,33.33
28,sandslash,10,295,158.0,1.0,29.5,29.5
29,nidoran-f,4,70,55.0,0.4,7.0,43.75
30,nidorina,8,200,128.0,0.8,20.0,31.25
31,nidoqueen,13,600,227.0,1.3,60.0,35.5
32,nidoran-m,5,90,55.0,0.5,9.0,36.0
33,nidorino,9,195,128.0,0.9,19.5,24.07
34,nidoking,14,620,227.0,1.4,62.0,31.63
35,clefairy,6,75,113.0,0.6,7.5,20.83
36,clefable,13,400,217.0,1.3,40.0,23.67
37,vulpix,6,99,60.0,0.6,9.9,27.5
38,ninetales,11,199,177.0,1.1,19.9,16.45
39,jigglypuff,5,55,95.0,0.5,5.5,22.0
40,wigglytuff,10,120,196.0,1.0,12.0,12.0
41,zubat,8,75,49.0,0.8,7.5,11.72
42,golbat,16,550,159.0,1.6,55.0,21.48
43,oddish,5,54,64.0,0.5,5.4,21.6
44,gloom,8,86,138.0,0.8,8.6,13.44
45,vileplume,12,186,221.0,1.2,18.6,12.92
46,paras,3,54,57.0,0.3,5.4,60.0
47,parasect,10,295,142.0,1.0,29.5,29.5
48,venonat,10,300,61.0,1.0,30.0,30.0
49,venomoth,15,125,158.0,1.5,12.5,5.56
50,diglett,2,8,53.0,0.2,0.8,20.0
51,dugtrio,7,333,149.0,0.7,33.3,67.96
52,meowth,4,42,58.0,0.4,4.2,26.25
53,persian,10,320,154.0,1.0,32.0,32.0
54,psyduck,8,196,64.0,0.8,19.6,30.62
55,golduck,17,766,175.0,1.7,76.6,26.51
56,mankey,5,280,61.0,0.5,28.0,112.0
57,primeape,10,320,159.0,1.0,32.0,32.0
58,growlithe,7,190,70.0,0.7,19.0,38.78
59,arcanine,19,1550,194.0,1.9,155.0,42.94
60,poliwag,6,124,60.0,0.6,12.4,34.44
61,poliwhirl,10,200,135.0,1.0,20.0,20.0
62,poliwrath,13,540,230.0,1.3,54.0,31.95
63,abra,9,195,62.0,0.9,19.5,24.07
64,kadabra,13,565,140.0,1.3,56.5,33.43
65,alakazam,15,480,225.0,1.5,48.0,21.33
66,machop,8,195,61.0,0.8,19.5,30.47
67,machoke,15,705,142.0,1.5,70.5,31.33
68,machamp,16,1300,227.0,1.6,130.0,50.78
69,bellsprout,7,40,60.0,0.7,4.0,8.16
70,weepinbell,10,64,137.0,1.0,6.4,6.4
71,victreebel,17,155,221.0,1.7,15.5,5.36
72,tentacool,9,455,67.0,0.9,45.5,56.17
73,tentacruel,16,550,180.0,1.6,55.0,21.48
74,geodude,4,200,60.0,0.4,20.0,125.0
75,graveler,10,1050,137.0,1.0,105.0,105.0
76,golem,14,3000,223.0,1.4,300.0,153.06
77,ponyta,10,300,82.0,1.0,30.0,30.0
78,rapidash,17,950,175.0,1.7,95.0,32.87
79,slowpoke,12,360,63.0,1.2,36.0,25.0
80,slowbro,16,785,172.0,1.6,78.5,30.66
81,magnemite,3,60,65.0,0.3,6.0,66.67
82,magneton,10,600,163.0,1.0,60.0,60.0
83,farfetchd,8,150,132.0,0.8,15.0,23.44
84,doduo,14,392,62.0,1.4,39.2,20.0
85,dodrio,18,852,165.0,1.8,85.2,26.3
86,seel,11,900,65.0,1.1,90.0,74.38
87,dewgong,17,1200,166.0,1.7,120.0,41.52
88,grimer,9,300,65.0,0.9,30.0,37.04
89,muk,12,300,175.0,1.2,30.0,20.83
90,shellder,3,40,61.0,0.3,4.0,44.44
91,cloyster,15,1325,184.0,1.5,132.5,58.89
92,gastly,13,1,62.0,1.3,0.1,0.06
93,haunter,16,1,142.0,1.6,0.1,0.04
94,gengar,15,405,225.0,1.5,40.5,18.0
95,onix,88,2100,77.0,8.8,210.0,2.71
96,drowzee,10,324,66.0,1.0,32.4,32.4
97,hypno,16,756,169.0,1.6,75.6,29.53
98,krabby,4,65,65.0,0.4,6.5,40.62
99,kingler,13,600,166.0,1.3,60.0,35.5
100,voltorb,5,104,66.0,0.5,10.4,41.6
101,electrode,12,666,172.0,1.2,66.6,46.25
102,exeggcute,4,25,65.0,0.4,2.5,15.62
103,exeggutor,20,1200,186.0,2.0,120.0,30.0
104,cubone,4,65,64.0,0.4,6.5,40.62
105,marowak,10,450,149.0,1.0,45.0,45.0
106,hitmonlee,15,498,159.0,1.5,49.8,22.13
107,hitmonchan,14,502,159.0,1.4,50.2,25.61
108,lickitung,12,655,77.0,1.2,65.5,45.49
109,koffing,6,10,68.0,0.6,1.0,2.78
110,weezing,12,95,172.0,1.2,9.5,6.6
111,rhyhorn,10,1150,69.0,1.0,115.0,115.0
112,rhydon,19,1200,170.0,1.9,120.0,33.24
113,chansey,11,346,395.0,1.1,34.6,28.6
114,tangela,10,350,87.0,1.0,35.0,35.0
115,kangaskhan,22,800,172.0,2.2,80.0,16.53
116,horsea,4,80,59.0,0.4,8.0,50.0
117,seadra,12,250,154.0,1.2,25.0,17.36
118,goldeen,6,150,64.0,0.6,15.0,41.67
119,seaking,13,390,158.0,1.3,39.0,23.08
120,staryu,8,345,68.0,0.8,34.5,53.91
121,starmie,11,800,182.0,1.1,80.0,66.12
122,mr-mime,13,545,161.0,1.3,54.5,32.25
123,scyther,15,560,100.0,1.5,56.0,24.89
124,jynx,14,406,159.0,1.4,40.6,20.71
125,electabuzz,11,300,172.0,1.1,30.0,24.79
126,magmar,13,445,173.0,1.3,44.5,26.33
127,pinsir,15,550,175.0,1.5,55.0,24.44
128,tauros,14,884,172.0,1.4,88.4,45.1
129,magikarp,9,100,40.0,0.9,10.0,12.35
130,gyarados,65,2350,189.0,6.5,235.0,5.56
131,lapras,25,2200,187.0,2.5,220.0,35.2
132,ditto,3,40,101.0,0.3,4.0,44.44
133,eevee,3,65,65.0,0.3,6.5,72.22
134,vaporeon,10,290,184.0,1.0,29.0,29.0
135,jolteon,8,245,184.0,0.8,24.5,38.28
136,flareon,9,250,184.0,0.9,25.0,30.86
137,porygon,8,365,79.0,0.8,36.5,57.03
138,omanyte,4,75,71.0,0.4,7.5,46.87
139,omastar,10,350,173.0,1.0,35.0,35.0
140,kabuto,5,115,71.0,0.5,11.5,46.0
141,kabutops,13,405,173.0,1.3,40.5,23.96
142,aerodactyl,18,590,180.0,1.8,59.0,18.21
143,snorlax,21,4600,189.0,2.1,460.0,104.31
144,articuno,17,554,261.0,1.7,55.4,19.17
145,zapdos,16,526,261.0,1.6,52.6,20.55
146,moltres,20,600,261.0,2.0,60.0,15.0
147,dratini,18,33,60.0,1.8,3.3,1.02
148,dragonair,40,165,147.0,4.0,16.5,1.03
149,dragonite,22,2100,270.0,2.2,210.0,43.39
150,mewtwo,20,1220,306.0,2.0,122.0,30.5
151,mew,4,40,270.0,0.4,4.0,25.0
152,chikorita,9,64,64.0,0.9,6.4,7.9
153,bayleef,12,158,142.0,1.2,15.8,10.97
154,meganium,18,1005,236.0,1.8,100.5,31.02
155,cyndaquil,5,79,62.0,0.5,7.9,31.6
156,quilava,9,190,142.0,0.9,19.0,23.46
157,typhlosion,17,795,240.0,1.7,79.5,27.51
158,totodile,6,95,63.0,0.6,9.5,26.39
159,croconaw,11,250,142.0,1.1,25.0,20.66
160,feraligatr,23,888,239.0,2.3,88.8,16.79
161,sentret,8,60,43.0,0.8,6.0,9.37
162,furret,18,325,145.0,1.8,32.5,10.03
163,hoothoot,7,212,52.0,0.7,21.2,43.27
164,noctowl,16,408,158.0,1.6,40.8,15.94
165,ledyba,10,108,53.0,1.0,10.8,10.8
166,ledian,14,356,137.0,1.4,35.6,18.16
167,spinarak,5,85,50.0,0.5,8.5,34.0
168,ariados,11,335,140.0,1.1,33.5,27.69
169,crobat,18,750,241.0,1.8,75.0,23.15
170,chinchou,5,120,66.0,0.5,12.0,48.0
171,lanturn,12,225,161.0,1.2,22.5,15.62
172,pichu,3,20,41.0,0.3,2.0,22.22
173,cleffa,3,30,44.0,0.3,3.0,33.33
174,igglybuff,3,10,42.0,0.3,1.0,11.11
175,togepi,3,15,49.0,0.3,1.5,16.67
176,togetic,6,32,142.0,0.6,3.2,8.89
177,natu,2,20,64.0,0.2,2.0,50.0
178,xatu,15,150,165.0,1.5,15.0,6.67
179,mareep,6,78,56.0,0.6,7.8,21.67
180,flaaffy,8,133,128.0,0.8,13.3,20.78
181,ampharos,14,615,230.0,1.4,61.5,31.38
182,bellossom,4,58,221.0,0.4,5.8,36.25
183,marill,4,85,88.0,0.4,8.5,53.12
184,azumarill,8,285,189.0,0.8,28.5,44.53
185,sudowoodo,12,380,144.0,1.2,38.0,26.39
186,politoed,11,339,225.0,1.1,33.9,28.02
187,hoppip,4,5,50.0,0.4,0.5,3.12
188,skiploom,6,10,119.0,0.6,1.0,2.78
189,jumpluff,8,30,207.0,0.8,3.0,4.69
190,aipom,8,115,72.0,0.8,11.5,17.97
191,sunkern,3,18,36.0,0.3,1.8,20.0
192,sunflora,8,85,149.0,0.8,8.5,13.28
193,yanma,12,380,78.0,1.2,38.0,26.39
194,wooper,4,85,42.0,0.4,8.5,53.12
195,quagsire,14,750,151.0,1.4,75.0,38.27
196,espeon,9,265,184.0,0.9,26.5,32.72
197,umbreon,10,270,184.0,1.0,27.0,27.0
198,murkrow,5,21,81.0,0.5,2.1,8.4
199,slowking,20,795,172.0,2.0,79.5,19.88
200,misdreavus,7,10,87.0,0.7,1.0,2.04
201,unown,5,50,118.0,0.5,5.0,20.0
202,wobbuffet,13,285,142.0,1.3,28.5,16.86
203,girafarig,15,415,159.0,1.5,41.5,18.44
204,pineco,6,72,58.0,0.6,7.2,20.0
205,forretress,12,1258,163.0,1.2,125.8,87.36
206,dunsparce,15,140,145.0,1.5,14.0,6.22
207,gligar,11,648,86.0,1.1,64.8,53.55
208,steelix,92,4000,179.0,9.2,400.0,4.73
209,snubbull,6,78,60.0,0.6,7.8,21.67
210,granbull,14,487,158.0,1.4,48.7,24.85
211,qwilfish,5,39,88.0,0.5,3.9,15.6
212,scizor,18,1180,175.0,1.8,118.0,36.42
213,shuckle,6,205,177.0,0.6,20.5,56.94
214,heracross,15,540,175.0,1.5,54.0,24.0
215,sneasel,9,280,86.0,0.9,28.0,34.57
216,teddiursa,6,88,66.0,0.6,8.8,24.44
217,ursaring,18,1258,175.0,1.8,125.8,38.83
218,slugma,7,350,50.0,0.7,35.0,71.43
219,magcargo,8,550,151.0,0.8,55.0,85.94
220,swinub,4,65,50.0,0.4,6.5,40.62
221,piloswine,11,558,158.0,1.1,55.8,46.12
222,corsola,6,50,144.0,0.6,5.0,13.89
223,remoraid,6,120,60.0,0.6,12.0,33.33
224,octillery,9,285,168.0,0.9,28.5,35.19
225,delibird,9,160,116.0,0.9,16.0,19.75
226,mantine,21,2200,170.0,2.1,220.0,49.89
227,skarmory,17,505,163.0,1.7,50.5,17.47
228,houndour,6,108,66.0,0.6,10.8,30.0
229,houndoom,14,350,175.0,1.4,35.0,17.86
230,kingdra,18,1520,243.0,1.8,152.0,46.91
231,phanpy,5,335,66.0,0.5,33.5,134.0
232,donphan,11,1200,175.0,1.1,120.0,99.17
233,porygon2,6,325,180.0,0.6,32.5,90.28
234,stantler,14,712,163.0,1.4,71.2,36.33
235,smeargle,12,580,88.0,1.2,58.0,40.28
236,tyrogue,7,210,42.0,0.7,21.0,42.86
237,hitmontop,14,480,159.0,1.4,48.0,24.49
238,smoochum,4,60,61.0,0.4,6.0,37.5
239,elekid,6,235,72.0,0.6,23.5,65.28
240,magby,7,214,73.0,0.7,21.4,43.67
241,miltank,12,755,172.0,1.2,75.5,52.43
242,blissey,15,468,608.0,1.5,46.8,20.8
243,raikou,19,1780,261.0,1.9,178.0,49.31
244,entei,21,1980,261.0,2.1,198.0,44.9
245,suicune,20,1870,261.0,2.0,187.0,46.75
246,larvitar,6,720,60.0,0.6,72.0,200.0
247,pupitar,12,1520,144.0,1.2,152.0,105.56
248,tyranitar,20,2020,270.0,2.0,202.0,50.5
249,lugia,52,2160,306.0,5.2,216.0,7.99
250,ho-oh,38,1990,306.0,3.8,199.0,13.78
251,celebi,6,50,270.0,0.6,5.0,13.89
